 Device: 3BBIRP-BRRJMA01 , Interface: ('xe-0/0/2',), power-level Rx: -32.22 
 Device: 3BBIRP_ECGYES01 , Interface: ('xe-0/0/3',), power-level Rx: -33.98 
 Device: 3BBIRP_ECGYES01 , Interface: ('xe-0/0/4',), power-level Rx: -35.23 
 Device: 3BBIRP_GTGUPB01 , Interface: ('xe-0/0/4',), power-level Rx: -35.23 
 Device: 3BBIRP_PELIPO01 , Interface: ('xe-0/0/1',), power-level Rx: -32.22 
 Device: 3BBIRP_PELIPO01 , Interface: ('xe-0/0/2',), power-level Rx: -32.22 
 Device: 3BBIRP_PELIPO01 , Interface: ('xe-0/0/4',), power-level Rx: -36.99 
 Device: 3BBIRP_NIBLBL01 , Interface: ('xe-0/0/2',), power-level Rx: -29.59 
 Device: 3BBIRP-BRRJMA01 , Interface: ('xe-0/0/2',), power-level Rx: -32.22 
 Device: 3BBIRP-BRRJMA01 , Interface: ('xe-0/0/3',), power-level Rx: -36.99 
 Device: 3BBIRPE_PELIPO01 , Interface: ('ge-2/2/4',), power-level Rx: -17.35 
 Device: 3BBIRPE_PELIPO01 , Interface: ('ge-2/2/8',), power-level Rx: -29.59 
 Device: 3BBIRPE_PELIPO01 , Interface: ('ge-2/3/8',), power-level Rx: -28.24 
 Device: 3BBIRP_CLRMSL01 , Interface: ('xe-0/0/3',), power-level Rx: -36.99 
 Device: 3BBIRP_CLRMSL01 , Interface: ('xe-0/0/4',), power-level Rx: -33.98 
 Device: 3BBIRP_CODCOR01 , Interface: ('xe-0/0/1',), power-level Rx: -30.00 
 Device: 3BBIRP_CODCOR01 , Interface: ('xe-0/0/2',), power-level Rx: -32.22 
 Device: 3BBIRP_CODCOR01 , Interface: ('xe-0/0/3',), power-level Rx: -35.23 
 Device: 3BBIRP_CODCOR01 , Interface: ('xe-0/0/4',), power-level Rx: -36.99 
 Device: 3BBIRP_ECGYES01 , Interface: ('xe-0/0/2',), power-level Rx: -32.22 
 Device: 3BBIRP_ECGYES01 , Interface: ('xe-0/0/3',), power-level Rx: -36.99 
 Device: 3BBIRP_ECGYES01 , Interface: ('xe-0/0/4',), power-level Rx: -35.23 
 Device: 3BBIRP_GTGUPB01 , Interface: ('xe-0/0/4',), power-level Rx: -33.01 
 Device: 3BBIRP_PELIPO01 , Interface: ('xe-0/0/1',), power-level Rx: -33.98 
 Device: 3BBIRP_PELIPO01 , Interface: ('xe-0/0/2',), power-level Rx: -36.99 
 Device: 3BBIRP_PELIPO01 , Interface: ('xe-0/0/4',), power-level Rx: -32.22 
 Device: 3BBIRP_NIBLBL01 , Interface: ('xe-0/0/2',), power-level Rx: -32.22 
 Device: 3BBIRP-BRRJMA01 , Interface: ('xe-0/0/2',), power-level Rx: -33.98 
 Device: 3BBIRP-BRRJMA01 , Interface: ('xe-0/0/3',), power-level Rx: -33.98 
 Device: 3BBIRPE_PELIPO01 , Interface: ('ge-2/2/4',), power-level Rx: -17.35 
 Device: 3BBIRPE_PELIPO01 , Interface: ('ge-2/2/8',), power-level Rx: -29.59 
 Device: 3BBIRPE_PELIPO01 , Interface: ('ge-2/3/8',), power-level Rx: -28.24 
 Device: 3BBIRP_CLRMSL01 , Interface: ('xe-0/0/4',), power-level Rx: -36.99 
 Device: 3BBIRP_CODCOR01 , Interface: ('xe-0/0/1',), power-level Rx: -28.54 
 Device: 3BBIRP_CODCOR01 , Interface: ('xe-0/0/2',), power-level Rx: -30.46 
 Device: 3BBIRP_CODCOR01 , Interface: ('xe-0/0/3',), power-level Rx: -33.01 
 Device: 3BBIRP_CODCOR01 , Interface: ('xe-0/0/4',), power-level Rx: -36.99 
 Device: 3BBIRP_ECGYES01 , Interface: ('xe-0/0/2',), power-level Rx: -36.99 
 Device: 3BBIRP_ECGYES01 , Interface: ('xe-0/0/3',), power-level Rx: -32.22 
 Device: 3BBIRP_GTGUPB01 , Interface: ('xe-0/0/2',), power-level Rx: -36.99 
 Device: 3BBIRP_PELIPO01 , Interface: ('xe-0/0/1',), power-level Rx: -32.22 
 Device: 3BBIRP_PELIPO01 , Interface: ('xe-0/0/2',), power-level Rx: -36.99 
 Device: 3BBIRP_PELIPO01 , Interface: ('xe-0/0/4',), power-level Rx: -32.22 
 Device: 3BBIRP_NIBLBL01 , Interface: ('xe-0/0/2',), power-level Rx: -29.59 
 Device: 3BBIRP_NIBLBL01 , Interface: ('xe-0/0/3',), power-level Rx: -35.23 
 Device: 3BBIRP-BRRJMA01 , Interface: ('xe-0/0/2',), power-level Rx: -33.98 
 Device: 3BBIRP-BRRJMA01 , Interface: ('xe-0/0/3',), power-level Rx: -33.98 
 Device: 3BBIRPE_PELIPO01 , Interface: ('ge-2/2/4',), power-level Rx: -17.35 
 Device: 3BBIRPE_PELIPO01 , Interface: ('ge-2/2/8',), power-level Rx: -29.59 
 Device: 3BBIRPE_PELIPO01 , Interface: ('ge-2/3/8',), power-level Rx: -28.24 
 Device: 3BBIRP_CLRMSL01 , Interface: ('xe-0/0/4',), power-level Rx: -36.99 
 Device: 3BBIRP_CODCOR01 , Interface: ('xe-0/0/1',), power-level Rx: -27.70 
 Device: 3BBIRP_CODCOR01 , Interface: ('xe-0/0/2',), power-level Rx: -30.46 
 Device: 3BBIRP_CODCOR01 , Interface: ('xe-0/0/3',), power-level Rx: -35.23 
 Device: 3BBIRP_CODCOR01 , Interface: ('xe-0/0/4',), power-level Rx: -32.22 
 Device: 3BBIRP_ECGYES01 , Interface: ('xe-0/0/2',), power-level Rx: -36.99 
 Device: 3BBIRP_ECGYES01 , Interface: ('xe-0/0/3',), power-level Rx: -33.98 
 Device: 3BBIRP_ECGYES01 , Interface: ('xe-0/0/4',), power-level Rx: -35.23 
 Device: 3BBIRP_GTGUPB01 , Interface: ('xe-0/0/2',), power-level Rx: -33.98 
 Device: 3BBIRP_GTGUPB01 , Interface: ('xe-0/0/4',), power-level Rx: -33.01 
 Device: 3BBIRP_PELIPO01 , Interface: ('xe-0/0/1',), power-level Rx: -33.98 
 Device: 3BBIRP_PELIPO01 , Interface: ('xe-0/0/2',), power-level Rx: -32.22 
 Device: 3BBIRP_PELIPO01 , Interface: ('xe-0/0/4',), power-level Rx: -36.99 
 Device: 3BBIRP_NIBLBL01 , Interface: ('xe-0/0/2',), power-level Rx: -28.86 
 Device: 3BBIRP_NIBLBL01 , Interface: ('xe-0/0/3',), power-level Rx: -35.23 
